user_name,review_text,rating,review_date,review_id,source
Jhareswar Bera,good,5,2026-02-23 00:22:11,399b4c88-619c-48eb-99c5-0064a0db1b46,google_play
Shital Parte,good 👍,4,2026-02-23 00:20:48,e0b5bd0b-9408-4382-945f-97042a13b3dc,google_play
Ashish Raj,very nice app,5,2026-02-23 00:15:52,bcc055aa-d9e4-4af3-bfa0-fd96138e8a34,google_play
Arpan Gupta,w 😴😘 yw a p wu utt o bolo na,3,2026-02-23 00:10:56,4e6c3c25-f333-4325-963d-f8aa44446050,google_play
Vikram Sarkar,nice apps,5,2026-02-22 23:51:16,a1fbb826-1ca6-4385-a7ff-47a89c8b3ce5,google_play
Hobibur Rahman,good,5,2026-02-22 23:50:06,15c78879-be04-4595-91b4-6f27d68aee5c,google_play
Tarus Omre,Please do something on brokerage charges.......adjust a little bit it would be helpful.....rest all fine 👍,5,2026-02-22 23:17:58,2baf77ea-ea5e-49e0-9e1d-321405a23285,google_play
Pardeep Kumar,awesome,5,2026-02-22 23:13:49,79c4de82-d55c-4516-bb92-22c3fb8b7903,google_play
Dhamma deep,Nice,5,2026-02-22 22:55:26,7a391695-a48e-4c5b-9892-1cbcf24baaa3,google_play
Arjun Dukare,bedt spp for new,5,2026-02-22 22:12:47,1805a43e-29a8-4fa9-aeca-5670b3465025,google_play
Archana Singh,Good,5,2026-02-22 21:51:32,3d2413d0-78ef-4b18-aff4-4f919b4fb190,google_play
Arman Khan,good app good interface,5,2026-02-22 21:36:40,d172b454-c511-4064-95a1-4f535d611543,google_play
Sandhya Shinde,Good app but needs some improvement feature wise take example from zerodha,4,2026-02-22 21:29:54,6b3f4723-4ace-42e5-87e4-64417a53ff8c,google_play
Puja Sharma,nice,5,2026-02-22 21:10:56,45b47357-6c44-4add-8605-ee7f4267493b,google_play
Anil Jadhav,best,5,2026-02-22 21:03:36,b9a6bc7f-4779-4daf-afef-02fd61388201,google_play
Aditya Raj,Op,4,2026-02-22 21:03:02,4794b159-677f-44c8-b7a3-a07a16b472d5,google_play
Lakhan Kakarwal,best off app,5,2026-02-22 20:41:42,c1475dd7-95d8-46d7-8db2-4e77c3a1dc19,google_play
Satyam Kumar,good💯👍,5,2026-02-22 20:40:52,368ecc4d-2b91-40a6-aaf2-5e9783af9db8,google_play
S R RON,It's a better app comparison to others for trading.,5,2026-02-22 20:36:01,a5c22fd2-fa8a-4ec1-a4fb-e35416a6ae81,google_play
Dilip Upadhya,payment issue everytime guys Don't use this app,1,2026-02-22 20:24:59,3da24b83-ee16-4cb8-be7b-ecfe8e705af8,google_play
rajesh sharma,good,5,2026-02-22 20:01:10,87eba915-f0a5-484f-85e7-f3ec93712e82,google_play
Vilas Damodar,excellent app,5,2026-02-22 19:54:18,79fc0888-90c8-4ac1-866b-02195eaaf46e,google_play
Riknang Sangma,👍,5,2026-02-22 19:53:51,baf62bbf-6660-4cbb-9878-403f792edd6f,google_play
Deepak Maurya,excellent,5,2026-02-22 19:43:38,8cae68bb-ff4a-4ef0-a4fa-99d5ef36d1a7,google_play
Rahul Bansal,it's very good and easy app,5,2026-02-22 19:29:05,cc34ed42-6197-468f-8be4-eca1977a64c7,google_play
SITAL TUDU,Nice,5,2026-02-22 19:18:34,39f93bc0-7c70-44aa-9566-a025d77439f4,google_play
Somasunder Maddineni,good,3,2026-02-22 19:11:18,3952baf2-9758-419c-8fc9-3f799e5a367c,google_play
MAROTI KEDARE,good,5,2026-02-22 19:10:56,6de30873-cc1c-4e50-8928-e71a96618b95,google_play
Kartik Luhar,so many ads in you please stop this I am not able to watch any of my youtube video because of your ads,1,2026-02-22 19:10:36,8da0cf4c-46d4-4987-9644-6891d3a162dc,google_play
Lalit Kishor,nice aap,5,2026-02-22 18:53:03,c140adfc-2931-4a0a-a1b0-d8f4cca67ced,google_play
Ganesh Panchal,good,4,2026-02-22 18:43:48,8f196873-c4e2-4aee-a06f-1d5214af7cc7,google_play
Jitendra Patel,ok,5,2026-02-22 18:36:46,d776a406-09a5-4796-b5ab-e6066f83e168,google_play
Naeem Mohammed,one of the best trading app,5,2026-02-22 18:26:05,e6a74a42-744e-449d-b291-97b3ab014f04,google_play
Yogesh Kendre,Good,5,2026-02-22 18:06:31,45903ad1-cf1c-4401-99fc-322c080671bf,google_play
sarthak bansal,STP not available for SOA mutual funds,1,2026-02-22 18:03:24,bbee0c7e-e9a7-4a1c-80b0-add89d633461,google_play
Thakor jigar,it's good,5,2026-02-22 17:55:55,97163b70-7ffc-4405-aa0a-57c22e6c82c1,google_play
Somshekar.N Kalmath,really good service provides from grow 👌,5,2026-02-22 17:41:21,6ece60ce-2525-4ed4-b1cc-a9670c01ce4f,google_play
Venkatesh Vs,good,5,2026-02-22 17:40:05,939e98f1-bfce-4a50-9576-022284bfafa3,google_play
Santosh Shakya,Good 👍🏻,4,2026-02-22 17:19:54,87be16ed-209e-4c7e-beb4-4e4568c6703d,google_play
Swapnil Biswas Majumdar,great app,5,2026-02-22 17:00:40,e89fff6b-2fbe-4610-933a-65a84ddfd959,google_play
Naim Khan,good experience,5,2026-02-22 16:38:38,b200cb9e-7a65-4cef-92d9-568d06d1a3f5,google_play
Vishnu Khan,very nice,5,2026-02-22 16:33:13,9c6248f9-d725-42ec-9f09-f2273c9948de,google_play
Sudipta Banerjee,Helpful.,5,2026-02-22 16:07:32,83764c73-ce21-4002-b7d8-abc474e1c737,google_play
Neeraj Yadav,very good,5,2026-02-22 16:02:51,f6562a61-6775-41a4-856a-63c747e674c2,google_play
Sumit Giradkar,good,5,2026-02-22 15:52:44,960eda1c-8abc-4a24-9dc8-061f890eece5,google_play
Pavitr Chandwani,good,5,2026-02-22 15:42:01,04a060b4-ed64-476b-93ed-32d576208879,google_play
Ramasharay Ramasharay,nice,5,2026-02-22 15:39:23,ea804b21-efd9-4124-a82f-515dc30aebc6,google_play
ARSHDEEP SINGH,good 👍,5,2026-02-22 15:38:20,54e2cc2d-1a2a-4c2c-b42a-408a81951fa7,google_play
Bhawani Singh Chouhan,"All good but please add one feature where we can move watchlist favorite funds up & down as per our convenience. like multi cap together, large cap together.",4,2026-02-22 15:37:57,775445df-b6de-474a-91cd-c958efcf0379,google_play
ajit kumar,very nice app.,5,2026-02-22 15:23:50,74f72b6f-a3f4-45f7-bedb-59218807d273,google_play
H Ray,good,5,2026-02-22 15:09:57,63c69627-b27a-480d-8f0f-d2b7b3178553,google_play
Zakiya Gulshan,Good app,4,2026-02-22 14:57:58,b998ff3c-6c0e-417c-9d3b-72765b62758b,google_play
Ajoy Biswas,Awesome ❤️,5,2026-02-22 14:42:31,b5d8ba6b-71c9-4a3e-b855-7d3a6e1a1c38,google_play
avinash mishra,good,5,2026-02-22 14:36:23,0c7d1cd6-b935-4383-baef-59e8c721595c,google_play
Soleman Khan,nice,5,2026-02-22 14:08:44,71b5c40d-270c-4c42-a071-1d78d531d4c1,google_play
Sachin Rawat,good,5,2026-02-22 13:50:46,20281820-e344-4fcf-a96a-ee3301b5cc58,google_play
Dr.Abhimanyu Mathur,awesome experience,5,2026-02-22 13:48:54,b27a4d5d-23c0-44f2-9abf-ca4e6f7f5178,google_play
M Prakash,Good,4,2026-02-22 13:45:23,5d883d0b-6321-4b47-8da2-5e089ac06727,google_play
Mohit Rajput,nice,5,2026-02-22 13:43:15,57bac982-8758-43fc-ba6b-d1a32a194a2c,google_play
Mohd Ahmed,good 👍🏻,5,2026-02-22 13:42:23,f33a31ee-f9de-4877-a67a-7f7041ae3d31,google_play
Srinivas Bhamidipati,ok,5,2026-02-22 13:42:07,467526c4-3a92-410a-815e-ddadc675a915,google_play
Nikhil Babar,great best,5,2026-02-22 13:39:30,4027e8b9-e017-4182-8af3-1c8685b9228d,google_play
Deepika malviya,super app for invester but I think the brokerage is to more,5,2026-02-22 13:30:35,6f91932f-30b5-4fe6-a4d9-2cde53fe7704,google_play
Nn Reddy,good,5,2026-02-22 13:28:36,0fa24a38-c160-4451-9940-eb9a23863ad5,google_play
Pooja Ranjan,"deserve one star,customer wants to process everything online but this app lacks online re kyc unlike other platforms. If a person is comfortable then only offline re kyc process should be done else online.Not going to recommend my circle.The maker should pay heed to our grievances.",1,2026-02-22 13:27:39,c0df0415-acd0-4148-a509-134cc875e654,google_play
Prasad C,user friendly,5,2026-02-22 13:14:46,40f1a71d-bbf6-4427-a055-aa2a066f46e4,google_play
bhagwan singh Meena,detto will you think. And the future is divine 🙏.now what do you want to me I have already given you so many appreciated 💘,5,2026-02-22 13:05:37,3932567a-1998-4187-93be-ad134dfe9a85,google_play
Amjad Khan,very good,5,2026-02-22 13:04:10,d9941f69-4638-4653-8cb0-d725f827fb64,google_play
MRINMOY KAR,easy app,5,2026-02-22 12:57:34,dabcdf96-ac03-4bbc-9ac6-a2b85ddcc160,google_play
Dj Jamal Hoque,I love this app 😘 very much because I like it very much and it is very easy to use.,5,2026-02-22 12:31:31,c927dc40-7694-4449-b9a9-238e9db1c7ec,google_play
Nabin Dey,useless application for intraday scalping and option trading. buy order execute after 3 seconds.,1,2026-02-22 12:19:10,ec7cfb96-d348-4787-9092-8ecbc2e85c95,google_play
Rahul Jadhav,NICE APP INDIAN MARKET 🇮🇳 BEST OPTION. INTRADAY 👍🏻,5,2026-02-22 12:01:54,2a5b6b5c-efcc-4d21-9ff6-0c92539f14ab,google_play
Deep chand Yadav,costly brokerage charge,5,2026-02-22 11:59:29,f0c9b9f9-38c9-440e-b2f7-524ce0436587,google_play
rakesh saini,good,5,2026-02-22 11:58:39,a23b94dc-dc7b-450f-8b76-26f2b8b129a9,google_play
Biplab Mondal,good... easy to use..,5,2026-02-22 11:47:11,9f11fb86-1895-48cc-9655-94bd3696da9a,google_play
DILIP TADVI,i want to see oi on both chart of option price and index. this option chain is too big so update old option chain,5,2026-02-22 11:39:39,952ee97d-4d7a-4038-ae2f-14f525d806c6,google_play
Surya ꜱɪɴɢ,nice app,5,2026-02-22 11:36:01,4713e052-aac6-4f68-b54d-2d1276e721fc,google_play
Abhimanyu Singh,best aap,5,2026-02-22 11:28:47,214ad5b5-3bc1-4c7b-9add-c26f1085974e,google_play
Chetan Bhusari,best,5,2026-02-22 11:15:46,f55d10d8-c2d3-459c-b7d1-e7471ed3f81e,google_play
Sharwan Singh Gehlot,best,5,2026-02-22 11:07:00,1072331b-c4b4-496d-b608-45f48290bf72,google_play
geeta navrang,great,5,2026-02-22 10:58:16,61adee68-c443-42b2-9dbe-c44d27b606c7,google_play
sushant naik,nice,5,2026-02-22 10:36:31,7ae3873e-61f0-4faf-b827-2ef6922a4523,google_play
Karthik Patil,Good interface,5,2026-02-22 10:28:07,f72cb843-bfb6-4c66-acaf-176528ee3816,google_play
gopikanth,good 💯,5,2026-02-22 10:16:55,fa600f2d-78fa-406f-b6e3-a982ed812951,google_play
KARMVEER BOUDH,good,5,2026-02-22 10:04:19,e63b2dee-b238-480c-b735-d76d1c6a7115,google_play
Alankar Tamke,nice app,5,2026-02-22 09:53:57,4ce8e831-9e2b-499b-a4b3-a25ed4ff19b5,google_play
Abhijit production house,Happy to use but buying and selling charges are very high,4,2026-02-22 09:44:50,13100446-f1ae-4e02-9e8f-4ecb316ab71b,google_play
Maths Ka Halwa,nice,4,2026-02-22 09:42:24,e0226054-530a-4327-adef-01991b3ac8e4,google_play
Manjunath Naik,excellent daily details,5,2026-02-22 09:22:58,03ab922f-0edc-49c1-902c-d3de9963bc5b,google_play
Montu Mondal,good,5,2026-02-22 09:17:43,d612d7ab-93ce-4e9e-b894-9e7ab1689592,google_play
ravi saini,good app,5,2026-02-22 09:05:11,9efb527e-748b-4805-9a29-f0dd7ab9d0d0,google_play
Arjun Gangode,ok,5,2026-02-22 09:03:26,d848aeb2-5144-4699-8862-162be2c74a15,google_play
Niranjan Sarangi,easy and fast with reliability,5,2026-02-22 08:55:56,d71c4a5f-1f6a-4ad1-92ed-02aa9c368b3e,google_play
Vivek singh Chouhan,good app,5,2026-02-22 08:52:19,b077a511-34d0-460f-8ea4-d6e22514cb9b,google_play
Uma Bagh,super😊,5,2026-02-22 08:48:53,fe87d518-b69e-40fb-86ac-c16d9c8ca658,google_play
Sekhar Chandra Swain,ok,5,2026-02-22 08:46:22,55bf2dc0-d4f9-4363-911b-57ba04568f3e,google_play
Kiran Patil,सुंदर,5,2026-02-22 08:32:38,5124594a-8de8-42af-8315-024579202c31,google_play
Poonam Rawat,"best app for investment, easy to use",5,2026-02-22 08:26:39,657d1255-40d2-4a53-8012-36d6faa59204,google_play
SOYAM SOMA,nice,5,2026-02-22 08:23:24,b4ca79e8-4659-42fd-8e49-54aa47085b0e,google_play
Mohit Meena,this an froud app it's take my 300 rupees and sad you not pay us,1,2026-02-22 08:02:43,6932e165-03da-454a-8bf1-20422b299cc2,google_play
Pradeep kumar Chaurasiya,best,5,2026-02-22 08:01:24,a66bd243-25fd-42e4-9688-d95140e1e234,google_play
R.R.R.RUHIDAS ROY,❤️❤️❤️❤️❤️,5,2026-02-22 07:58:37,57f363f3-3c4a-4626-91ad-832d4c8e1cc4,google_play
Vandana Yadav Yadav,Good,5,2026-02-22 07:33:14,b3c94ac3-770c-44a5-a28e-0c0a4562595d,google_play
gowtham subramaniyam,good,5,2026-02-22 07:06:02,df3c6e7a-82c1-45bb-b963-631e1335e924,google_play
Deepak Singh,Brokerage charges are very high on groww when you place an order in MTF.,1,2026-02-22 06:06:07,35c82bcd-c664-438b-9676-34fed7d829a8,google_play
Sagar Kumar,very good,5,2026-02-22 03:24:04,aed17fc3-58ee-4ee3-aa6c-edd5099da3a0,google_play
Punam Kumari,very nice,5,2026-02-22 00:41:45,624827e9-004f-44a4-a8dc-f0ae0f858730,google_play
indira Raskaran,nice,5,2026-02-22 00:26:54,9ac79acf-0fd9-4e61-967d-645d5d789199,google_play
Ajay Kumar Sharma,trust 💕💯,5,2026-02-22 00:18:28,6557bbb3-648d-4e63-9be0-ea3c9cb92b90,google_play
Jyoti Devi,best aap,5,2026-02-22 00:11:05,ff18f3f3-efb9-4628-9929-a1f1a33a3353,google_play
Jassu Nri,💥🎉,5,2026-02-21 23:59:34,327c8128-ba43-487e-8367-3cfa9d3b83da,google_play
Neha Sharma,groww is taking 20rs. per order so many apps are not taking brokerage like 1. flat trade 2.shoonya these are good app for expert zerodha,1,2026-02-21 23:34:08,a690e1fe-e93c-4bea-83a4-b291c898d84c,google_play
Barbara lepcha,Amazing app,5,2026-02-21 23:21:20,51e94607-9413-4b46-824b-c81aa7df1dd4,google_play
Amit Goplani,option chain me open intrest change ka bhi add karna chahiye tha upstox app me hai feature...,3,2026-02-21 23:14:07,a901a00c-784d-4a60-a79b-713ac9446e2a,google_play
pakki Govindamma,good 👍,5,2026-02-21 23:13:27,8b27ebf3-b291-4f42-a8b2-a8e1dc43aade,google_play
Oppo Reno15,nice,5,2026-02-21 23:13:11,88f6beb0-b696-4fba-a4fe-8c1e8c42490d,google_play
shubham kumar,High brokrage for F&N,1,2026-02-21 23:10:25,db1d6d9c-76a2-4485-89d4-a4e14b1cbe23,google_play
Priyanka Nacham,friendly app,5,2026-02-21 23:05:22,32654c96-0193-498a-a3d4-ccaa2ed1f1ba,google_play
Pralay Patari,❤️,3,2026-02-21 23:03:57,b9b0e042-9509-45d0-aec8-0b2b29dc4b92,google_play
Raj yadav,all good,4,2026-02-21 22:34:00,94661cee-4877-4b74-9ddd-294bda432cf8,google_play
Sonu Prajapati,nice,5,2026-02-21 22:30:55,48510b25-1205-4d8e-822e-369e46409756,google_play
Sivakumar Rajendran,"Very simple and easy to use. Has all the information required for trading smoothly. Yet I need some other options. 1. To use rectangle properly, add the middle line. 2. In top down analysis I use higher time frame to mark the key zones. To refine it I need smaller time frame where I find difficult in grow app, for It just provides past three months history only. Every thing else is fine.",5,2026-02-21 22:03:30,e7b4ad57-c98a-4156-a026-ffcc37a9910a,google_play
Sanjay Patel,It is better than other apps but high brokerage fees and small investors are not still there.,2,2026-02-21 22:01:05,bbeea877-0e56-4897-aabc-743f4b90ac2b,google_play
Jaspal Singh mehra,kya Baat hai groww super super duper app 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2026-02-21 21:54:29,b4ab2865-479b-4539-8367-b4406384241c,google_play
NB Gemar,very easy,5,2026-02-21 21:54:26,3d394fe8-7cf3-4339-9ce0-e1a4fbbdf190,google_play
Nikhil Choudhary,The mobile app is very simple and user friendly.,5,2026-02-21 21:50:52,4b99ec4e-bd41-48db-935a-d245417b34d1,google_play
Vijay Punetha,bast for muchal fands app,5,2026-02-21 21:47:39,d193734a-0232-4fc0-b115-2c4dc2bc7ce3,google_play
vinayshankar mishra,good,5,2026-02-21 21:30:29,2986d868-ac22-4d2a-ae10-2b3e2ae4629a,google_play
pramod kumar podar,good,5,2026-02-21 21:10:49,5fd7cfc5-2285-4c9a-bfd1-0718872ab42c,google_play
Sumit Chauhan,that s good broker,5,2026-02-21 21:10:23,1f87ff70-c6bb-4fd4-ba67-e271fce9b8a1,google_play
sudeep S,very good,5,2026-02-21 21:08:35,e76c2674-d86d-4d70-bebb-28639795159d,google_play
GAV,how to upload pic here... everyday gtt order price placed is showing and in side shows its executed even it's not.. not showing market price ... please improve....Please provide how many times ipo subscribed ...,4,2026-02-21 20:57:00,301db97c-e5a5-4695-955d-8ec8f0b02eaa,google_play
J S Gaming,very good 😊💯,5,2026-02-21 20:56:48,d057e692-b31d-4b72-ae7f-d628c1c964ba,google_play
Bikramaditya Sahoo,good,5,2026-02-21 20:36:36,9c7a3d70-90a7-4f8d-8195-fb7854834b1a,google_play
Sukhsagar Sahani,is power ful groww my life is best mere jivan ka sapamana pura karata hai. mera ak din ka kamae pura karata hai,5,2026-02-21 20:36:30,bec97eb7-d5f4-4e7a-9b5c-f334c5d987c5,google_play
Avinash Ms,good,5,2026-02-21 20:35:37,86569f4a-17bc-4a91-84b6-f4d777f7979c,google_play
Ganesh N,nice,5,2026-02-21 20:34:42,28dcd5ce-11c1-4e41-a3eb-e23900c45f79,google_play
Muthu Pandi,good,5,2026-02-21 20:23:50,bd277d61-dbcf-4c37-9015-7c35bdc4d174,google_play
Varun Sharma,very good 👍 app,5,2026-02-21 20:22:39,11f812c7-47b8-400b-a7d6-e5ea7ac9e73a,google_play
Vikram Kumar Jha,Great Aap 😃,5,2026-02-21 20:20:15,15c159da-44cc-4686-845b-6c052d907e1b,google_play
Md Ayesh,nice,5,2026-02-21 20:19:26,a3f9bda5-806c-4023-a079-9ca81e2b7cce,google_play
SHEKHAR KALE,I have started option trading firstly I make 4000 profit on capital of 8000 but after I added 75000 I suffered huge loss of 28000 for recovery of this I again do option trading but I lose another 10000 I realised that if Market is bullish and I buy call option then immediately it becomes bearish Vice versa... I have buy 12 shares for 820 of bank of maharashtra and after 15 days I sale all but amount is neither credited to my demat account not saving account it's Fraud app please don't go for it,1,2026-02-21 20:04:14,56abeb7b-ad0a-4cfe-8886-496d73aeea26,google_play
jaat nehra,theek hai,1,2026-02-21 19:54:32,868d6cae-ef1f-491d-a6ea-f386e312b470,google_play
Shrinivas Jooja,the tax and brokerage is too high,1,2026-02-21 19:35:57,58dc8d37-620a-4de4-ae8a-71782ef01816,google_play
Deep Fitness,chart very basic and good but brokerage charges very high 40rup buy sell and very high dp charge,2,2026-02-21 19:25:33,d3e1cc49-b242-4090-b191-023a9401ad2b,google_play
Yendluri Prasadu,good,5,2026-02-21 19:02:48,ed60d612-39ee-42af-bc29-19844ffb46c5,google_play
AKSHAY PALODKAR,good app,5,2026-02-21 18:59:26,afeec912-7164-4235-a067-63e8cc138aff,google_play
Ramprasad Prajapat,nice,5,2026-02-21 18:29:54,a71eabcf-05b2-481d-b548-4f44b3e17dc5,google_play
Řidip Øzah,nice 👍,5,2026-02-21 18:28:03,d237a187-0c5c-4fc4-999a-5441448473a2,google_play
Arpit Shukla,this app is oxm iam everyday making 3lakh a day in stock market,5,2026-02-21 18:17:23,c612faee-d686-401a-91c9-8098dec85076,google_play
Saroj Soni,"Hassle free,reliable and secure . Grow on Groww, it's possible 👍",5,2026-02-21 18:07:35,98c31611-4929-4a31-a4d2-947d3b8eded6,google_play
Abdul Kadir,good app,5,2026-02-21 18:06:25,69417022-e274-49fa-baf7-87d091deb9ca,google_play
Amjad Khan,good,5,2026-02-21 18:05:47,305f59f1-286c-4172-abe9-1a2ff7df5234,google_play
Shadab khan Shadab,good,5,2026-02-21 18:01:04,364c7364-21ef-451f-a68f-900d8e0e1ee3,google_play
Bidyut Boruah,I am doing S.I.P in mutual fund through this app from last 4 years.. but today I shifted my SIP from Grow to Zerotha... because they changed my SIP to SoA to Demet without my proper knowledge... Such decisions decrease trust of the platform...,1,2026-02-21 17:53:23,3b29f8f1-0795-4976-9562-485f6de37bfa,google_play
amit patil,Great 👍,5,2026-02-21 16:22:42,7ae34cc9-c0af-42d8-a191-d8e72489a387,google_play
IKRAM ALI,very nice app,5,2026-02-21 16:13:51,74a7f009-dc83-4c1f-9be2-59c174d51e8c,google_play
pankaj kshirsagar,best app good business process,5,2026-02-21 16:11:24,b6ce91af-ca44-4f03-87c0-2aae08643ab9,google_play
Arjun Rajput,mast 🥰🥰🥰❤️,5,2026-02-21 15:53:47,96e59e2c-0709-4d4e-ae8c-2003f5b9f4da,google_play
RojanaFire 30,😍👍,5,2026-02-21 15:38:14,91b07476-def2-46c7-a56f-ea36527b9f4a,google_play
Sagar Biih,super excellent,5,2026-02-21 15:36:58,8b52441c-a35d-40a1-9e6c-956060f8825f,google_play
Ameet Parichha,excellent,5,2026-02-21 15:16:20,ee0b3f07-a459-444f-a80d-2eae3273d0d7,google_play
PK Production house,nice,5,2026-02-21 15:14:21,dcc9d048-5ea0-4793-93c9-0148514f1c74,google_play
Mauhar Singh Meena,👍,5,2026-02-21 15:13:32,fac6c038-3c7b-4e11-886f-24ebaf254676,google_play
Patil Sumi,nice,5,2026-02-21 15:08:26,2505696e-9595-4554-b70b-be1f38e42240,google_play
Sardar Vaghela,nice,5,2026-02-21 14:44:43,22f3aad1-3551-47fc-bbfa-4d1fb20b87e0,google_play
Ketan Nirguda,Good,4,2026-02-21 14:44:00,9b7b998f-5aea-4fd2-8e73-7da69b6db05a,google_play
Hardik Parmar,amzing !!,5,2026-02-21 14:42:45,bd7662fa-a901-4997-b9e1-97fc68022e3f,google_play
rip_sigma,best app with good cute service,5,2026-02-21 14:33:57,6bfb04ef-b5f9-43e1-836f-b0aa441b99ce,google_play
Maa Bhawani Music,बहुत,5,2026-02-21 14:32:26,d3f84d11-27b0-4fa0-b983-745ebc43ef1a,google_play
satya ranjan patra,very good,5,2026-02-21 14:31:55,b8ba14e4-7c58-4d05-91d8-052d2e1294a7,google_play
Subendu Das,good,5,2026-02-21 14:31:19,38584198-5100-46d4-9222-e868a57a82ad,google_play
Vedant,"really good app with great potential ,id recommend everyone should use it.Only one problem,pls fix certain PnL updating issues ,the PnL in the commodities section doesn't update per candle stick closure or ends up updating only every 5-10 mins ,pls fix ,overall 4/5 ,ima continue w this app for years moving forward",4,2026-02-21 14:28:10,be7e77d6-50cb-4911-a741-db3698af2efe,google_play
Kauum Khan,good services,5,2026-02-21 14:22:41,156e8287-ffc6-4695-9c33-3354fa7ef32e,google_play
Paresh Rabari,🙏👍,5,2026-02-21 14:02:41,86aca334-ca30-430c-b764-30c705b1c9d7,google_play
Rohit Kumar,It is best app and broker for trading and investing. Easy to use,5,2026-02-21 13:59:18,fb2662c9-47a6-41a1-aa7b-ab9ed1862e4f,google_play
Goshai Barman,good service,5,2026-02-21 13:53:40,a4741bb9-575b-44d2-b822-81f5f038a95b,google_play
Pranesh Gowda,ok,1,2026-02-21 13:44:56,34f2312c-606b-41b3-a3bf-e29465c9b70f,google_play
Mahatab Ansari,Best application,5,2026-02-21 13:40:20,2730ab74-bf21-40f0-a4cd-560db1896f17,google_play
Uttam Shinde,nice,5,2026-02-21 13:39:21,5219dad5-4b35-4364-be63-c6db257e77a6,google_play
Ram Kumar,wow,5,2026-02-21 13:10:18,f19d6b96-f4b6-4a93-9ddd-ef5c0da2c2fb,google_play
Debabrata Mundari,nice 👍🏻👍🏻,5,2026-02-21 13:09:56,e9372d86-94eb-42a7-a628-f8873d01a8d6,google_play
Priyankesh Rao,user friendly,4,2026-02-21 13:01:25,831c5131-1db1-4ece-9524-4a4574be4cad,google_play
Dipanshu Raw,best tread app,5,2026-02-21 12:55:05,ba2fd477-836b-4df4-9892-26c9bd9c86ed,google_play
Tileshwar Kumar,nice 👍,5,2026-02-21 12:49:57,8a897f39-248c-45b5-b981-10a54d8dd79a,google_play
Rizwan Pasha,best customer support,5,2026-02-21 12:31:46,8dd1bf2f-75b8-4e80-94ec-291a88ea5403,google_play
Dharmesh Patel,good,5,2026-02-21 12:28:56,699282ae-6f0d-4621-97bf-3579a0204ed6,google_play
Papu Papu,👍,5,2026-02-21 12:18:30,974e5f2a-3752-449b-bd22-e6e2942dbed2,google_play
Jay Verma,very good,5,2026-02-21 12:17:19,c6831278-5f1e-4b10-ad8a-d27ec39d5248,google_play
abhishek kumar,very good 💯😊😊,5,2026-02-21 12:15:01,b405b9d4-abc8-4518-b658-a8031cdb8542,google_play
Ramesh K,user friendly and efficient,5,2026-02-21 12:03:39,95a497dc-680b-4eac-ae03-bedee7761002,google_play
Suraj Kumar,good,5,2026-02-21 12:01:33,796e9a30-fa8e-43ec-835b-17f4b716cc5c,google_play
Varsha Agrahari,good app esey to all fuction I think all app to beter,5,2026-02-21 12:00:31,5165ee8c-58ec-4553-880b-64af2f4d05f3,google_play
Sweeti Singh,very good 👍,5,2026-02-21 11:54:03,0586cf8d-8acd-4113-9c3b-2b5ec5fd7d06,google_play
Purushottam Kumar,Good,5,2026-02-21 11:54:01,bf887e79-e4c5-429b-999b-8edb84e790ea,google_play
Hitter,great app,4,2026-02-21 11:49:28,17cd44a5-7aa5-4efd-882d-cf94c99651c2,google_play
Subhajit Mandal Nontu,very good 😊💯,5,2026-02-21 11:43:01,1ef87fcf-0454-4a0b-b7e5-44a81d735ccd,google_play
Chetan Atadakar,ok,5,2026-02-21 11:39:46,b80a065b-28ce-496c-a6e5-9f808f02ea3c,google_play
Dipankar Sarkar,"Very easy to use this application.. Groww is not just an app, it is a gateway to financial growth. ❤️💚",5,2026-02-21 11:25:27,82c60c4c-d62d-4043-98b5-53845489cd9e,google_play
Bikash Keshri,ok,5,2026-02-21 11:06:22,abf1b834-592e-4d21-a6bb-0a4fde1f249a,google_play
